#separator:tab
#html:true
#columns:NoteID	Front	Back	Tags
2022S_FE_AM_78	<img src="Pasted image 20241022183221.png"><br><img src="Pasted image 20241022183229.png">	d)<br><br>i will work on this ##soon (or someone help discuss if its ok)	math business-administration philnits 2022S_FE_AM_78
2016S_FE_AM_1	Which of the following decimal values is equivalent to a hexadecimal fraction 0.B1?<br>a) \(2^0+2^{-2}+2^{-3}+2^{-7}\)<br>b) \(2^0+2^{-3}+2^{-4}+2{-8}\)<br>c) \(2^{-1}+2^{-3}+2^{-4}+2^{-7}\)<br>d) \(2^{-1}+2^{-3}+2^{-4}+2^{-8}\)	d) \(2^{-1}+2^{-3}+2^{-4}+2^{-8}\)	number-systems philnits 2016 2016S_FE_AM_1
2016S_FE_AM_10	<img src="Pasted image 20241023215218.png">	b) 20<br><br><img src="Pasted image 20241023221453.png"><br><br><img src="Pasted image 20241023221521.png"><br><br>With in-order traversal, we get \((((2 + 3) * 10) - 10) / 2\) which is = 20	data-structures philnits 2016 2016S_FE_AM_10
2016S_FE_AM_2	Which of the following is a solution for the logical equation on variable X below? Here, A, B, and C are logical constants; the operators “+”, “·”, and “¯” denote logical OR, logical AND, and NEGATION, respectively.<br><br>\(A \cdot B + X + B \cdot C = A \cdot B + \overline{A} \cdot C\)<br><br>a) \(A \cdot C\)<br>b) \(\overline{B} \cdot \overline{C}\)<br>c) \(\overline{B} + C\)<br>d) \(\overline{A} \cdot C\)	d) \(\overline{A} \cdot C\)<br><br><br>### Consensus Theorem<br><br>\(x \cdot y + x' \cdot z + y \cdot z = x \cdot y + x' \cdot z\)<br><br>X = \(\overline{A} \cdot C\)<br><br>In \(A \cdot B + \overline{A} \cdot C + B \cdot C\),<br>\(B \cdot C\) can be omitted using the consensus theorem.<br><br>Which leaves us with:<br>\(A \cdot B + \overline{A} \cdot C = A \cdot B + \overline{A} \cdot C\)<br><br>So the answer is:<br>d) \(\overline{A} \cdot C\)	digital-logic philnits 2016 2016S_FE_AM_2
2016S_FE_AM_3	Alice and Mary take a math exam. The probability of passing this exam for Alice and Mary is 2/3 and 3/5, respectively. What is the probability that at least one of them will pass the exam?<br><br>a) 1/5<br>b) 7/15<br>c) 3/5<br>d) 13/15	d) 13/15<br>### Step 1: Calculate the probabilities of failure.<br><br>\(P(A') = 1 - \frac{2}{3} = \frac{1}{3}\)<br>\(P(M') = 1 - \frac{3}{5} = \frac{2}{5}\)<br><br>### Step 2: Calculate the probability that both fail.<br><br>\(P(A' \cap M') = P(A') \cdot P(M') = \frac{1}{3} \cdot \frac{2}{5} = \frac{2}{15}\)<br><br>### Step 3: Determine the probability that at least one passes.<br><br>\(P(\text{at least one passes}) = 1 - P(A' \cap M') = 1 - \frac{2}{15} = \frac{13}{15}\)<br><br>So the answer is:<br>d) 13/15	probability philnits 2016 2016S_FE_AM_3
2016S_FE_AM_4	What is the distribution of arrival rate in an M/M/1 queuing model?<br><br>a) Exponential distribution<br>b) Geometric distribution<br>c) Normal distribution<br>d) Poisson distribution	d) Poisson distribution<br><br>In an M/M/1 queuing model, the arrival rate is characterized by a **Poisson distribution**, meaning arrivals occur randomly and independently over time with a constant average rate, \(λ\).<br><br>Key points include:<br><br>- **Randomness**: The number of arrivals in a given time period can vary.<br>- **Memoryless Property**: The likelihood of an arrival is independent of previous arrivals.<br>- **Single Server**: There is one server handling arrivals.<br><br>### Other Choices:<br><br>a) **Exponential Distribution**: Models the time between events in a Poisson process.<br><br>b) **Geometric Distribution**: Represents the number of trials until the first success in independent Bernoulli trials.<br><br>c) **Normal Distribution**: A symmetric distribution commonly found in nature, not typically used for queuing arrivals.	philnits 2016 2016S_FE_AM_4
2016S_FE_AM_5	<img src="Pasted image 20241023030828.png">	b) \(O(n\log(n)), O(n^2)\)<br><br>In a randomized version of the quicksort algorithm, the average-case and worst-case time complexities are as follows:<br><br>- **Average-Case Time Complexity:** \(O(nlogn)\)<br>  This occurs because, on average, the pivot divides the array into two approximately equal halves.<br>- **Worst-Case Time Complexity:** \(O(n2)\)<br>   This happens when the pivot is consistently the smallest or largest element, leading to unbalanced partitions (though this is rare with random pivot selection).<br><br>So the answer is:<br>b) \(O(n\log(n)), O(n^2)\)	algorithms philnits 2016 2016S_FE_AM_5
2016S_FE_AM_6	There is a language defined by a context-free grammar with the production rules below:<br>E -> T + E | T<br>T -> F * T | F<br>F -> ( E ) | C<br>C -> 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9<br><br>In this grammar, non-terminals are E, T, F, and C; terminals are parentheses, plus sign, asterisk, and numbers; E is the start symbol. Which of the following shows that the expression 7 + 3 * (6 + 4) is a sentence of this language?<br><br>a) E -> 7 + 3 * (F + T)<br>b) E -> 7 + 3 * E<br>c) E -> 7 + 3 * (T)<br>d) E -> 7 + T * (E)	d) E -> 7 + T * (E)<br><br>### Why E → 7 + 3 * (F + T) works:<br><br>1. First, verify this specific sequence can generate our target "7 + 3 * (6 + 4)":<br>    - 7 is already there<br>    - 3 is already there<br>    - F can derive a single digit (F → C → 6)<br>    - T can derive a single digit (T → F → C → 4)<br>2. The other options fail because: b) E → 7 + 3 * E<br><br>    - Can't generate the parentheses pattern at all<br><br>    c) E → 7 + 3 * (T)<br><br>    - Has parentheses but can't generate "number + number" inside them<br>    - Only has T inside, not a sum<br><br>    d) E → 7 + T * (E)<br>    - Has the wrong constant (T instead of 3)<br>    - Wrong order of operations<br><br>We need to verify that:<br><br>1. The constants match exactly where needed (7 and 3)<br>2. The structure matches (* and + in correct positions)<br>3. The non-terminals (F and T) can actually derive what we need<br>4. The parentheses are in the right place	automata-theory philnits 2016 2016S_FE_AM_6
2016S_FE_AM_7	Let \(A\) be an array of integers of size 10, whose \(i^{th}\) entry is represented by \(A[i]\) for \(i\) = 0 to 9, and its initial value is 0. For a positive integer \(k\), the rules below determine the entry in which the value \(k\) is stored. When the integers 16, 43, 73, 24, and 85 are processed in this order, in which entry is the last value 85 stored? Here, \(x\) mod \(y\) represents the remainder after the division of \(x\) by \(y\).<br><br>\([Rules]\)<br>(1) If \(A[k\) mod \(10]\) = 0, then store \(k\) in \(A[k\) mod \(10]\).<br>(2) Otherwise, if \(A[(k + 1)\) mod \(10]\) = 0, then store k in \(A[(k + 1)\) mod \(10]\).<br>(3) Otherwise, if \(A[(k + 4)\) mod \(10]\) = 0, then store k in \(A[(k + 4)\) mod \(10]\).<br>(4) Otherwise, discard \(k\).<br>a) \(A[3]\)<br>b) \(A[5]\)<br>c) \(A[6]\)<br>d) \(A[9]\)	d) \(A[9]\)<br>### Simplify the hash function/entry<br><br>With \(k\) mod \(10\), we can just look at the last digit of a number to get their initial position for mental calculation.<br><br>### Process<br><br>16 % 10 = 6 so 16 will be in \(A[6]\)<br>43 % 10 = 3 so 43 will be in \(A[3]\)<br><br>73 % 10 = 3, now since we have a collision because 43 is also in \(A[3]\),<br>we proceed to Rule 2 which is storing in \(A[k + 1]\) % \(10\),<br>which is 73+1 = 74 % 10 = 4 so 73 will be stored in \(A[4]\)<br><br>24 % 10 = 4, since we have another collision because 73 is now in \(A[4]\),<br>we proceed to Rule 2 again,<br>24 + 1 = 25 % 10 = 5, so 24 will be stored in \(A[5]\)<br><br>Lastly, we have<br>85 % 10 = 5, now since 24 is in \(A[5]\), we proceed with Rule 2.<br><br>But, 16 is also in \(A[k + 1]\) which is \(A[6]\).<br><br>So we proceed with \(A[k + 4]\) which is \(A[5 + 4]\) or \(A[9]\).<br><br>Then the last entry (85), is stored in \(A[9]\)	data-structures philnits 2016 2016S_FE_AM_7
2016S_FE_AM_8	Typical list data type implementations are either array based or pointer based. Which of<br>the following describes a characteristic of array-based implementations?<br><br>a) In addition to space for each element in a list, space for a pointer to the next element is<br>also required.<br>b) Moving to the middle of a list takes an amount of time proportional to the number of<br>elements, as it requires visiting all the entries from the beginning to the middle.<br>c) Regardless of the actual number of elements in a list, insertion and removal of an<br>element can be performed in a fixed time.<br>d) Regardless of the actual number of elements in a list, some space may remain unused as<br>the space for storing the maximum number of elements is pre-allocated.	d) Regardless of the actual number of elements in a list, some space may remain unused as<br>the space for storing the maximum number of elements is pre-allocated.<br><br>### Why the other choices are incorrect:<br><br>- **a) In addition to space for each element in a list, space for a pointer to the next element is also required.**<br><br>    - This describes **pointer-based** implementations (e.g., linked lists), where each node holds a pointer to the next node. In array-based implementations, pointers between elements are not needed.<br>- **b) Moving to the middle of a list takes an amount of time proportional to the number of elements, as it requires visiting all the entries from the beginning to the middle.**<br><br>    - This is true for **pointer-based** implementations (like linked lists), but in array-based implementations, direct access to any element by index takes constant time, O(1).<br>- **c) Regardless of the actual number of elements in a list, insertion and removal of an element can be performed in a fixed time.**<br><br>    - In array-based implementations, **insertion** or **removal** requires shifting elements, which takes time proportional to the number of elements, O(n), so it's not fixed time. This is true only for linked lists under certain conditions.	data-structures philnits 2016 2016S_FE_AM_8
2016S_FE_AM_9	<img src="Pasted image 20241023213903.png">	a) A: No, B: No<br><br>In this flowchart, we want to get the output of not going through the Process block if \(P'\) or \(Q\) so it would be equivalent.<br><br>That means if \(P\), it should skip the process so \(A\) should be No, because Yes would lead to going through the process.<br><br>Then if \(Q\), we want it to go through the process so \(B\) should be No, because Yes would lead to skipping the process.	algorithms philnits 2016 2016S_FE_AM_9
